company_txt,job_simp,Job Description,Salary Estimate,Rating,Location,job_state,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer provided,min_salary,max_salary,avg_salary,min_degree,age,python_yn,sql_yn,excel_yn,aws_yn,spark_yn,nlp_yn,r studio_yn,job_sin,Company Name,Job Title
"IBM
",data scientist,"Introduction
As a Data Scientist at IBM, you will help transform our clients data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether its investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.
Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.
Evaluate modelling results and communicate the results to technical and non-technical audiences.
Locations:
Atlanta, GA
Cambridge, MA
Chicago, IL
Dallas, TX
Houston, TX
New York, NY
San Francisco, CA
Washington DC

Required Technical and Professional Expertise
Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.)
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies
Willingness to travel up to 100% of the time.
Majors:
Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical and Professional Expertise
NA

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","$80K-$129K
(Glassdoor est.)",3.8,"Columbus, OH", OH,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),0,0,80,129,104.5,Masters,109,1,0,1,1,0,0,0,na,"IBM
3.8",Entry Level - Associate Data Scientist
"Upstart Network, Inc.
",data scientist,"Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we’d love to hear from you!The TeamUpstart’s Machine Learning team has a direct impact on our company's success. The team consists of full-stack generalists as well as specialists in statistical modeling, analytics or machine learning in each of our office locations.The fundamental goal of the Machine Learning team is to explore new models and new data sets that can improve the accuracy of our models. With this goal comes near-limitless challenges to tackle, and that is one of the reasons why Upstart is such a unique opportunity. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.The RoleAs a Data Scientist, you'll evaluate and monitor our models, their performance, and their effects on our customers. Additionally, you'll identify potential problems or opportunities for improvement, communicate these issues to the team, and suggest solutions. This involves self-directed investigation into our business and its data, designing and preparing regular reports, as well as conducting ad hoc analyses for the Machine Learning team, company leadership, and external parties such as partner banks.Our Machine Learning team researches and productionizes all of Upstart’s core predictive models. If data is the new oil, then you’ll be responsible for the refining process that creates the most premium fuel possible. You’ll work in an environment where actionable insights from data are valued and needed, so you’ll be able to see your analysis turn into measurable results for our company and our borrowers.What we’re looking for:2+ years' in data science, data analytics or related experience in a business settingKnowledgeable in applied statistics (e.g., hypothesis testing, linear and logistic regression)Experience with SQL and R or PythonEnthusiasm for and alignment with Upstart’s mission and valuesStrong sense of intellectual curiosity balanced with humility, drive and teamworkNumerically-savvy and smart with ability to operate at a speedy paceAbility to quickly piece together disparate pieces of information to form a broader pictureAbility to use data to detect bugs, surprises, and other important business issuesDetermination to pursue a question until reaching a satisfactory conclusionExperience with consumer (especially consumer finance) data a plusData visualization skills preferredMS or PhD preferredWhat you’ll love:Competitive compensation (base + bonus & equity)Comprehensive medical, dental, and vision coveragePersonal development and technology & ergonomic budgetsLife insurance and disability benefitsClubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)Generous vacation policy401(k) retirement planCatered lunches + snacks & drinksUpstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.","$89K-$147K
(Glassdoor est.)",4.3,"Columbus, OH", OH,201 to 500 Employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,0,0,89,147,118,Bachelors,8,1,1,0,0,0,0,0,na,"Upstart Network, Inc.
4.3",Data Scientist
"Battelle
",data scientist,"Battelles founding mission to translate scientific discovery and technology advances into societal benefit is as relevant today as when we opened our doors over 90 years ago. Our science and technology enhance society's well-being and create critical innovations that drive scientific advances for the future. We conduct groundbreaking research and development, design and manufacture leading-edge products, and deliver critical services for commercial and government customers. Our work meets the needs of the nation when it matters most, and Battelle is committed to driving innovation today and for generations to come.
JOB SUMMARY
We are currently seeking an entry-level Data Scientist/Modeler (Research Associate). This position located in Columbus, OH.

Battelle’s Chemical, Biological, Radiological, Nuclear, and Explosives (CBRNE) Defense business line, in our National Security business unit, is currently seeking persons with knowledge of physical/mathematical phenomena and programming savvy. The Hazard Modeling Team within CBRNE Defense provides its customers with technical analyses as well as modeling capabilities to inform their preparedness and response planning efforts to mitigate risk to the United States or their company. Successful applicants will have the opportunity to make this Nation and Battelle’s clients safer and better prepared.
MAJOR RESPONSIBILITIES
Support model development activities concerning inhalation, ingestion, dermal, and radiation exposure hazards, response to CBRNE events, and decision support.
Perform rigorous mathematical and statistical analysis on large data sets.
Design and develop graphical user interfaces for mathematical models.
Develop code to support database and back-end server interface.
Test model code for accuracy and performance.
Collect, reduce, process, and present model input and output data.
Write reports of methods used and results obtained.
THE FOLLOWING IS REQUIRED
0 to 2 years of experience in software development, mathematical modeling, statistical analysis, data science, or related field.
Education reflecting on of the following:
Bachelor’s degree in Computer Science or Computer Science Engineering with a minor, certificate, or relevant work experience in in a scientific or mathematical field (e.g., statistics, data analysis, biology, engineering).
Bachelor’s degree in Physics, Physics engineering, Actuarial science, Mathematics, Biology, or Engineering with a minor or certificate in computer science or relevant work experience requiring computer programming.
Must have a GPA of 3.0 or above.
Completed coursework in higher-level mathematics (e.g., calculus, differential equations, linear algebra).
Completed coursework in computer science and/or mathematical modeling.
Experience using object-oriented programming in C++, C#, Java, or python for significant classroom assignments, undergraduate research, or other work experience.
Ability to learn and understand new programing languages and mathematical concepts.
Must be a U.S. Citizen with the ability to obtain and maintain a Secret DoD clearance.
THE FOLLOWING IS DESIRED
Coursework in statistics or probability (at least one formal class).
Coursework in engineering (e.g., transport phenomenon, reaction kinetics).
Significant programming experience in an object-oriented programming language (e.g., C++, C#, Java, or python. Matlab, LabVIEW, Mathcad, Mathematica would not be considered relevant experience).
Experience with JavaScript/HTML/CSS.
LEGAL DISCLAIMER
The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle’s Legal Department.

BENEFITS

Battelles competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.

Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity or expression, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within Battelle.

For more information about our other openings, please visit www.battelle.org/careers","$96K-$157K
(Glassdoor est.)",3.3,"Columbus, OH", OH,10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),0,0,96,157,126.5,Bachelors,91,1,0,0,0,0,0,0,na,"Battelle
3.3",Data Scientist/Modeler
"Olive
",data engineer,"Olive is healthcare's A.I. workforce and has been successfully deployed at health systems across the country. Olive automates work to allow healthcare professionals to concentrate on what's most important, their patients. Olive's promise to her customers is that she figures out where she can have an impact, onboards quickly, shows up for work everyday, does her job extremely well, and gets smarter over time.Olive is made possible by a technology platform which allows her to understand the data emanating from the work that she does and to use that data to get smarter over time. Data Engineers work with the Olive Product Management team to deliver features that allow Olive to store and process large amounts of data. They also work on developing new tools that allow our Omega teams gain insight into the work Olive is doing and deliver ever increasing value back to our customers. Our team gives Data Engineers the ability to own independent small-to-medium features all the way from technical design to launch. A successful Data Engineer will possess strong analytical as well as technical skills, and have the ability to communicate the logic behind technical decisions to non-technical stakeholdersResponsibilities:Collaborate with Engineers and Product Managers to design and implement featuresAbility to meet deadlines and satisfy requirements from other Engineers and Product ManagementPeer review and code review participation to provide valuable feedback during every step of the development processQuickly produce well-organized, optimized, and documented codeCommunicate effectively and efficiently across all divisions including with the business, technical teams, and leadersTake technical ownership of tasks and successfully work independentlyDemonstrate the ability to become a domain expert in projectsBachelor's in Computer Science, Computer Engineering, or relevant equivalent experience4+ years of relevant programming experienceHands-on experience working data pipelines and data architectureAWS experience preferred (S3, Glue, RDS, EMR, Athena/Presto DB, IAM)History of designing and delivering software solutions to real world problems across a variety of technology stacks and programming languages with deep experience in several modern programming languages (e.g. JavaScript, Python, Go, JVM based languages)Experienced in the development of highly maintainable and reliable code using practices such as unit testing, integration testing, proper code documentation, and appropriate loggingStrong communication, critical thinking, and problem solving skillsDemonstrated understanding of fundamentals engineering conceptsKnowledge of software and application design and architectureExperience writing and reviewing detailed Technical Design Documents (TDDs) is a plusPI123669216","$52K-$94K
(Glassdoor est.)",3.8,"Columbus, OH", OH,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,52,94,73,Bachelors,8,1,0,0,1,0,0,0,na,"Olive
3.8",Data Engineer
"Olive
",ML Engineer,"Olive is healthcare's first intelligent digital workforce and has been successfully deployed at numerous healthcare systems across the country. Olive helps streamline and automate the most high-volume, repetitive tasks so healthcare professionals can concentrate on their patients and solving healthcare's most challenging problems. Olive's promise to her customers is that she finds out where she can make an impact, onboards quickly, shows up to work everyday, does her job extremely well, and gets smarter over time.The focus of the Machine Learning Engineering team is to develop models and logic to address customers' needs, package the codebase for testing, and deploy it to production environments. The ideal candidate understands machine learning as well as software development best practices— from collecting and preprocessing data for training, validating, and testing machine learning models to unit and integration testing, deployment, and maintenance. As a Machine Learning Engineer, you will be expected to have the ability to work collaboratively with customers and other engineers to demonstrate value in sprints.Responsibilities:Collaborate with team members to deliver ML and RPA solutions including but not limited to data analytics and analysis, ML model training, and RPA implementationIdentify machine learning architectures and models to solve complex data problemsWork with multiple stakeholders to deliver automated workflows in a timely fashionUse software development programs and operating systems for developmentDefine new techniques and best practices for all areas of req and MLProvide feedback to product and development teams to improve our in house toolsDocument process, procedures, and training materials for staff and stakeholdersAttend daily stand-up and periodic team meetingsBachelor Degree in Computer Science, Computer Engineering, Physics, Applied Mathematics, Systems Engineering, Electrical Engineering or other related degree or experienceStrong mathematical and data analysis skillsSolid understanding of data types and structuresKnowledge of remote connectivity applications: Citrix Receiver, Horizon VMWare Client, RDPVersion control such as GIT, Subversion, Team FoundationAbility to understand large scale software & system architectureAble to communicate technical issues with technical & non-technical stakeholdersExperience in one of the following programming languages: Python, R, SQL, and JavascriptPreferred Skills/Experience Nice to Have:Experience with Python ML tools: Keras, Jupyter Notebooks, Pandas, scikit-learn, Flask, OpenCV, Tesseract, and NumpyExperience with Agile tools, Jira, Trello, Pivotal TrackerUnderstanding of Continuous integration, testing, deployment & release methodologiesAutomation Anywhere, Blue Prism, Autolt experienceUnderstanding of Computer VisionProficiency with recent Windows Server operating systemsHealthcare IT and EHR knowledgePI123669218","$48K-$89K
(Glassdoor est.)",3.8,"Columbus, OH", OH,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,48,89,68.5,Bachelors,8,1,1,0,0,0,0,0,na,"Olive
3.8",Machine Learning Engineer
"Upstart
",na,"Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Team

Research Scientists with Upstart have a direct impact on our company's success. Our team consists of full-stack generalists as well as specialists in statistical modeling or machine learning as well as Machine Learning Engineers.

Because our challenges are so new, Research Scientists at Upstart need strong creative problem-solving skills and the technical background to implement solutions. Our research environment affords team members the opportunity to utilize a variety of statistical and machine learning methods with the freedom and encouragement to pursue alternative approaches to solving problems. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

The Role

As a Research Scientist, you'll have ownership across a breadth of data science projects working end-to-end from building proof-of-concepts to productionalizing models. You'll also have an opportunity to work alongside a talented team that values curiosity, humility, drive and teamwork.

What we're looking for:
Strong academic credentials with a M.S. in statistics, mathematics, computer science or a related quantitative field of study with a preference for a PhD
Comfort with programming (ideally in Python and R)
Rigorous quantitative background
Predictive modeling experience is preferred
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility
Numerically-savvy with ability to operate at a speedy pace
What you'll love:
Competitive compensation (base + bonus & equity)
Comprehensive medical, dental, and vision coverage
Personal development and technology & ergonomic budgets
Life insurance and disability benefits
Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)
Generous vacation policy
401(k) retirement plan
Catered lunches + snacks & drinks
Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.","$54K-$111K
(Glassdoor est.)",4.3,"Columbus, OH", OH,201 to 500 Employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,0,0,54,111,82.5,Bachelors,8,1,0,0,0,0,0,0,na,"Upstart
4.3",Research Scientist
"Battelle
",na,"Battelle’s founding mission “to translate scientific discovery and technology advances into societal benefit” is as relevant today as when we opened our doors over 90 years ago. Our science and technology enhance society's well-being and create critical innovations that drive scientific advances for the future. We conduct groundbreaking research and development, design and manufacture leading-edge products, and deliver critical services for commercial and government customers. Our work meets the needs of the nation when it matters most, and Battelle is committed to driving innovation today and for generations to come.We are currently seeking a Principal Research Scientist – Healthcare Quality. Health Research and Measure Development Principal Research Scientist. This position may be located in Baltimore, Maryland; Crystal City, VA or Columbus, OH.JOB SUMMARYWe are currently seeking a Principal Research Scientist – Healthcare Quality. Health Research and Measure Development Principal Research Scientist. This position may be located in Baltimore, Maryland; Crystal City, VA or Columbus, OH.Battelle’s Health Research team, headquartered in Baltimore, MD, specializes in conducting research in the areas of healthcare quality improvement, clinical quality measure development, measurement science, and knowledge management for government, academic and private industry clients worldwide. The primary functions of the Principal Research Scientist, Healthcare Quality will be to execute appropriate health research and analytical methods designed to evaluate the development, implementation, and maintenance of clinical quality measures and alternative payment models. This includes an understanding of, and experience with, appropriate experimental and quasi-experimental research methodologies, policy analysis, qualitative, quantitative, and mixed-methods evaluation designs, as well as, outcome dissemination and implementation science. The selected candidate will be part of a team of researchers evaluating the outcomes and impacts of programs focused on a wide range of health and wellbeing research. Compensation will be based on qualifications and experience.MAJOR RESPONSIBILITIESLeads and participates in multiple, assigned, and self-initiated research projects with a minimum of supervision and within time and budget constraints.Participates in the development of clinical quality measures focused on a wide range of clinical areas.Participates in the development and evaluation of alternative payment models.Provides subject matter expertise to federally-funded clinical quality measure developers.Conducts presentations on advancements in clinical quality measure science.Perform highly complex assignments by compiling and evaluating design and test data, prepare technical specifications, analyze technical data to determine appropriate limits and variables for product or process specifications.Plan, organize, execute, analyze, and perform technical work; organize project resources; manage budget; project deliverables; and other related project management activities for multiple projects.Manage stakeholder relationships through collaboration and working closely with internal and external stakeholders to communicate project data, status, and technical needs and address risk, issues, and opportunities.Provide technical advice and assistance; review proposed solutions for technical feasibility, (White Papers, and Contract Proposals).Support and lead preparation and submission of publishable manuscripts.Support business development efforts, including strategic planning and monitoring of current and future business opportunities.Prepare technical and financial information for briefings, presentations, and status reports.Monitor and report program commitments, obligations, expenditures, contract performance, and program status execution to include program milestones, schedule and cost, conduct related analyses, and track financial and technical metrics.Reviews scientific literature and other information sources, and prepares summaries.Prepares technical reports and presentations that are clear, concise, and technically accurate.Monitor and report program commitments, obligations, expenditures, contract performance, and program status execution to include program milestones, schedule and cost, conduct related analyses, and track financial and technical metrics.Builds relationships with internal and external partners and clients, and supports business development efforts.THE FOLLOWING IS REQUIREDPh.D. in health administration, health informatics, public health, other health-related relevant field and 2+ years of professional experience in clinical quality measure development. ORMaster’s degree or higher in health administration, health informatics, public health, other health-related relevant field and 5+ years of professional experience in clinical quality measure development. ORBachelor’s degree or higher in health administration, health informatics, public health, other health-related relevant field and 8+ years of professional experience in clinical quality measure developmentExperience working in contract research for a federal, state or private entity.Experience working with one or more of the following federal agencies: Centers for Medicare & Medicaid Services, Department of Veterans Affairs, Agency for Healthcare Research and Quality, the Defense Health Agency.Experienced writing funding proposals, concise recommendation papers and longer analytical reviews.Experience working with and/or developing healthcare quality measures.Ability to communicate verbally and in writing and maintain effective working relationships with a broad range of operational users, technical developers and government program managersProven ability to work as an effective member of a multidisciplinary team.THE FOLLOWING IS DESIREDExperience working with private or state health agencies.Knowledge and experiences in research involving health policy, health disparities, international health, health economics or health data sources such as electronic health records are also desirable.Excellent word processing and computer skills; familiarity with Microsoft Office software including Word, Excel, PowerPoint, as well as SharePoint and Adobe Acrobat Professional.LEGAL DISCLAIMERThe above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle’s Legal Department.BENEFITSBattelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity or expression, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within Battelle.","$87K-$153K
(Glassdoor est.)",3.3,"Columbus, OH", OH,10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),0,0,87,153,120,Bachelors,91,0,0,1,0,0,0,0,senior,"Battelle
3.3",Principal Research Scientist - HealthCare Quality Improvement
"PayPal
",analyst,"Key ResponsibilitiesUnderstand how to make data visually appealing and simple to both navigate and comprehend for end-usersAggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systemsIdentify key metrics and build exec-facing dashboards to track progress of the business and its highest priority initiativesIdentify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-makingWork closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executivesLead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support Basic Requirements:Graduated within past 12 months, or will be graduating by Spring 2021, with a Bachelor’s or Master’s degree in Computer Science, Math, Statistics or related fieldExperience with one or multiple of the following will be highly desirable; Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHPExcellent understanding of computer science fundamentals, data structures, and algorithmsDemonstrated experience, familiarity and ease with handling large data sets and crunching numbersInformation Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experienceStrong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadershipPosition Location: VariesJob_Description_Summary: At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about people. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world? The world’s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness. We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.","$47K-$83K
(Glassdoor est.)",3.9,"Columbus, OH", OH,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,47,83,65,Bachelors,22,1,1,1,0,0,0,0,na,"PayPal
3.9",Data Analyst - University Graduate
"The Ohio State University Wexner Medical Center
",na,"Job Details
Job Title
Data Analytics Consultant

Job ID
461498
Location
Shared Services
Full/Part Time
Full-Time
Department
Financial Analytics
Shift
1
Regular/Temporary
Regular

FTE %
100.00
Salary Range Min
$78600.00

Salary Range Max
$121830.00
Job Description
Data Analytics Consultant (Job Opening 461498) - Contributes strategic vision and serves as the top-level technical contributor and lead for the most complex data and analytics initiatives in an effort to align information technology solutions with business initiatives. Serves as the primary contributor and consultant for data related to patient care services in the planning, design, development, implementation, functionality and evaluation of integrated clinical information systems that support and enhance clinical practice, administrative and management needs and patient outcomes. Data Scientist contributes strategic vision and serves as the top-level technical contributor and lead for the most complex and advanced data analytics initiatives. Creates value to organization leadership by compiling and analyzing business data from across clinical, research, educational and operational areas of the Medical Center. Data Science is an enterprise-wide support role and the work involves the application of advanced analytical methods, such as mathematical and simulation modeling, and excellent communication skills in order to identify actionable long-term strategies and implement solutions to complex issues across the medical center.
Education and Experience
Masters Degree required in Data Science, Industrial and Systems Engineering, Computer Science, Operations Research, Applied Statistics, Applied Mathematics, Informatics or related field; PhD desired; a minimum of three (3) years of recent and relevant hands-on healthcare predictive analytic experience required. Solid knowledge in statistics/applied mathematics and computer science leveraged in a healthcare/business setting, including at least one of the following: Discrete event simulation and mathematical modeling, data acquisition using SQL or some other format, understanding of relational data base design, experience with Logic Based Programming languages and tools such as R, Python, SQL, etc. Mathematical Modeling experience using linea","$39K-$61K
(Glassdoor est.)",3.8,"Columbus, OH", OH,10000+ Employees,1916,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,39,61,50,Masters,104,1,1,1,0,0,0,0,na,"The Ohio State University Wexner Medical Center
3.8",Data Analytics Consultant
"Ohio State University Medical Center
",na,"Job Description Previous JobNext JobJob DetailsJob TitleResearch ScientistJob ID461331LocationCollege of MedicineFull/Part TimeFull-TimeDepartmentSBS-Physiology & Cell BiologyShiftVariesRegular/TemporaryRegularFTE %100.00SalaryNegotiableJob DescriptionResearch Scientist (Job Opening 461331) - Research Scientist to independently perform basic research in cardiovascular disease; performs experiments and collects data; develops devices or techniques for studies, including experimental techniques, hardware, software, statistical methods, etc; prepares research results for publication in professional journals, books, etc; presents research findings at national meetings and in other appropriate ways disseminates scientific knowledge to the research community; actively participate in developing grant proposals of original research; participates in determining research priorities and planning programs of researchEducation and ExperienceDemonstrated ability to be a competent and productive researcher as evidenced by several peer-reviewed professional publications; knowledge of sophisticated research techniques in cellular cardiac electrophysiology required.","$63K-$79K
(Glassdoor est.)",3.8,"Columbus, OH", OH,10000+ Employees,1916,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,63,79,71,Bachelors,104,0,0,0,0,0,0,0,na,"Ohio State University Medical Center
3.8",Research Scientist
