,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,"Technical Manager, Data Scientist","$98K-$159K
(Glassdoor est.)","Here at Scotts Miracle-Gro there is no such thing as a typical day. Our culture is constantly energized by new and exciting growth opportunities and at a rapid pace. Every Associate plays an important role in providing innovative solutions for today’s gardeners and growers and contributing new ideas to improve operations. In our company you need grit, it is what we were founded on over 150 years ago and is what keeps us growing. Regardless of your level in the organization there is a platform for your voice to be heard and the ability to influence change. Family, community and hard working values are weaved into all that we do. Come grow with us, where we develop and nurture the next generation of leaders.

The Data Scientist will support our research, product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities and Duties:
Research and develop statistical learning models for data analysis
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Actively engage with key internal and external technology partners
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Coordinate with different functional teams to implement models and monitor outcomes
Skills/Requirements:
5+ years of experience manipulating data sets and building and operationalize functional statistical models
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using various languages: R, Python, SQL, Presto.
Experience using Amazon Web Services: Athena, Glue, EMR, RDS, S3, SageMaker, etc.
Experience creating and operationalizing advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience visualizing/presenting data for stakeholders using: Tableau, D3, ggplot, etc.
Non-Technical Skills:
Complex problem solving & analysis
Ability to formulate an in depth technical strategy meeting the needs of supported business functions
Ability to meet with the business and technical teams to provide understandable technical direction that demonstrates understanding of and alignment with business objectives.
Relationship building with technical and non-technical personnel
Research new tools on the market and evaluate their value within the company.
Ability to develop strategic roadmap and serve as SME in related area
Minimum Qualifications:
MS degree in Statistics, Mathematics, Computer Science or another quantitative field
4+ years of data modeling experience
4+ years of Python, Java, R, SQL
4+ years of experience with algorithm development, tuning, and operalization
Experience with AWS cloud services: EC2, EMR, RDS, Glue, Athena, S3, SageMaker
Experience with Neo4j Graph Database, Mulesoft, and Gprahql a plus.
#LI-SMG

Not interested in this role? Stay up to date on future opportunities by joining our ScottsMiracle-Gro and Hawthorne Gardening talent networks.

Scotts is an EEO Employer, dedicated to a culturally diverse, drug free workplace.

EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity

Notification to Agencies:

Please note that the Scotts Miracle-Gro company does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Master Service Agreement, and specific approval to submit resumes to an approved requisition, the Scotts Miracle-Gro company will not consider or approve payment regarding recruiter fees or referral compensations.

.",4.0,"The Scotts Miracle-Gro Company
4.0","Columbus, OH",-1,5001 to 10000 Employees,1868,Company - Public,Consumer Products Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
1,Research Scientist - Data Science and Risk Analysis,-1,"Immuta was founded in 2015 based on a specific mission to build a platform that accelerates self-service access and control of sensitive data. Immuta’s award-winning automated data governance software platform creates trust across security, legal, compliance, and business teams so they can work together to ensure timely access to critical business data with minimal risks. Our automated, scalable, no code approach makes it easy for users to access the data they need, when they need it, while protecting sensitive data and ensuring their customers’ privacy.

Our Mission is clear. Enable the legal and ethical use of data. How we approach this mission is also clear!

We are mission focused. Born out of a government mission, we understand why data is about more than just analytics - it also represents our values. Our mission is to enable the legal and ethical use of data, ensuring that data is accessible to only those who need it, for the right reasons, and in the proper form.
We are humble intellects. We are experts in privacy, ethics, law, and engineering. But true expertise requires constant change - to always learn and to always adapt. And that means we excel as students and as teachers. We have something to learn from everyone, at any time, in any place.
We are independent achievers. We don’t need guidance to get things done, yet we know when to ask for help. We accomplish our mission while upholding our values, whatever it takes.
We are helpful and caring. For us, life is about the values we uphold, not the credit we receive or the attention we garner. We operate with respect and consideration of our peers, acting with empathy, honesty, transparency, and integrity.

RESEARCH TEAM
Immuta research scientists and engineers identify, plan, and perform basic research and engineer the tools needed to go from concept to prototype. They are focused on developing privacy enhancing technologies, data profiling, and risk management features within the Immuta platform. Our scientists and engineers on this team and others are world class with a drive to take on and solve cutting edge problems.

YOUR ROLE
You will work on the Research Team investigating the latest technologies and computational techniques relevant to Privacy Enhancing Technologies, and developing models to quantify how these techniques mitigate disclosure risk. Your work will focus on develop risking modeling and mitigation strategies focusing on specifically on privacy risks. Using insights developed from the risk models, you will help develop and enhance novel privacy enhancing technologies to further reduce disclosure risk.

You will work closely with the Applied Data Science and Customer Success teams to understand customer use cases, usage patterns, and feedback. You’ll work closely with the Legal Engineering team to understand trends in regulations and best practices on a variety of regulatory & privacy related topics. Finally, you’ll work closely with the Product Team to ensure successful hand off and productization of research prototypes that transition to product features.

WE’RE LOOKING FOR RESEARCH SCIENTISTS WHO...
* have a strong background in their field, have a strong background in mathematics & statistics, and have a desire to apply their background to research centered on data privacy, protection, and governance,
* are experienced in quantitative risk assessment and mitigation,
* are outstanding problem solvers, can understand tradeoffs without becoming stuck in analysis paralysis, can tackle tough challenges with innovative thinking and determination,
* have excellent communication skills and can effectively convey the results of investigation for productization and convey the results of analysis / investigations at conferences, in papers, and in other media such as blog posts,
* have experience using R or Python or can easily leverage their experience with other tools to become experts in those

TECHNOLOGIES YOU'LL USE
* Immuta's Data Platform
* Python, Pandas, PySpark
* Various Machine Learning Frameworks
* Snowflake
* Databricks

WE VALUE
* Proficiency in at least one programming language and associated libraries suited to data science, preferably Python or R,
* A strong statistics and math background
* Experience in statistical risk management
* Understanding of privacy and working in regulated environments
* Independent research experience
* Experience developing proof of concept software

Immuta provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, national origin, marital status, age, disability (including disability due to pregnancy) or genetics, protected veteran status, or any other characteristic protected by law. Immuta complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment.

NOTICE TO THIRD PARTY RECRUITERS: Immuta does not accept candidates from third party recruiters. All candidates submitted through are considered to be submissions by the candidate and no submission will obligate Immuta to pay any third party for the referral or hiring of a candidate.",4.8,"Immuta Inc.
4.8","Columbus, OH",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
2,Immunology Principal Research Scientist,"$69K-$138K
(Glassdoor est.)","Battelle is guided by a founding mission. We invest our knowledge, talents and resources, helping our customers achieve their most important goals. We apply scientific rigor and creativity, succeeding where others may fail, and we invest in our communities, making the world better for generations to come. All of us share a common purpose: to solve the greatest challenges of today and tomorrow.

Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and environmental management. Battelle’s work is grounded in the belief that science, technology and a passion for excellence can make industries more competitive and the world a better place.

We are currently seeking an Immunology Principal Research Scientist to support our Clinical and Non-Clinical Research business. This position will be located in West Jefferson, OH.

JOB SUMMARY

Performs immunological research and analysis including flow cytometry and development and troubleshooting of new assays. Interacts with clients to develop new capabilities and solves a range of problems. Analyzes possible solutions and makes recommendations for process improvement. Extracts information from existing databases or literature and performs reviews.

MAJOR RESPONSIBILITIES
Performs assignments of moderate complexity by compiling and evaluating design and test data, preparing technical specifications, analyzing technical data to determine appropriate limits and variables for product, process or materials specifications.
Interprets, compiles and analyzes data collected and writes various technical reports.
Troubleshoots the testing process when expected results are not obtained. Recommends and executes paths forward to resolve analysis problems.
Completes assigned project work within schedule and budget constraints.
Assists with proposal efforts as needed.
Builds relationships with internal clients. Has contact with external clients.
Contributes to IR&D studies. Develops moderately complex processes or testing methods to improve quality or efficiency.
Supports business development efforts led by others.
May oversee lower-level staff in extracting and preparing data for analysis.
THE FOLLOWING IS REQUIRED
PhD in Immunology or related field with 2-5 years relevant experience.
Strong experience with flow cytometry instruments.
Experience developing new and troubleshooting assays.
Must be a US citizen with the ability and willingess to obtain security clearance.
Ability to obtain/maintain certification in Chemical Personnel Reliability Program (NACLC required) and/or Biological Personnel Reliability Program (Single Scope Background Investigation required for entry- this is background investigation performed for DoD TOP SECRET clearances), and Biological Suitability Assessment Program.
Ability to obtain/maintain DoJ Security Risk Assessment (SRA) approval.
Ability to obtain/maintain CDC approval to work with BSAT material.
Must be willing to work in a biosafety level 2 (BSL2) and/or 3 (BSL3) (biocontainment) environment and able to wear appropriate respiratory protection.
Must be willing to be immunized with FDA licensed vaccines and Investigational New Drugs (IND) recommended for persons at risk to occupational exposure of biological agents.
Must be willing to participate in random drug screening.
LEGAL DISCLAIMER

The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle's Legal Department.

BENEFITS

Battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.

Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within Battelle.",3.2,"Battelle Memorial Institute
3.2","West Jefferson, OH",-1,10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),-1
3,Research Scientist,"$42K-$92K
(Glassdoor est.)","Job Details
Job Title
Research Scientist

Job ID
459901
Location
College of Medicine
Full/Part Time
Full-Time
Department
Pathology
Shift
Varies
Regular/Temporary
Regular

FTE %
100.00
Salary Range Min
$50000.00

Salary Range Max
$65000.00
Job Description
Research Scientist (Job Opening 459901) - Research Scientist to participate in the development and implementation of a nationally competitive program investigating vaccine development for infectious diseases including ongoing SARS-CoV-2 vaccine development within the Department of Pathology; writes and submits grant proposals of original research in the area of parasitology, vaccine development and immunology as Principal Investigator (PI), co-investigator or collaborator to obtain funding in support of research with significant salary support from extramural funding sponsors; develops and tests hypotheses; plans, designs and executes advanced research experiments; conducts statistical analysis, evaluation and interpretation of raw data; plans and writes manuscripts, articles, abstracts and research reports for publication in peer-reviewed journals; develops and implements new research techniques and methodologies in the laboratory; writes IRB and ILACUC protocols as needed for research; ensures and is accountable for compliance to federal and institutional laboratory and safety regulations; oversees and trains junior research staff, post doctoral researchers, residents, and undergraduate & graduate students; develops new and on-going collaborative research opportunities.
Education and Experience
Doctoral degree in Biochemistry or Molecular or Cellular Bio or Immunology or Parasitology required; extensive experience in a progressively responsible research capacity required; experience in parasitology and immunology is desirable, demonstrated publication record in peer-reviewed journals required; technical expertise in molecular biology, cell biology, biochemistry, immunology preferred and in vivo mouse models desired; experience in laboratory management preferred; grant funding track record desired. Requires successful completion of a background check. Selected candidate may be requested to complete a pre-employment physical including a drug screen.",3.9,"The Ohio State University Wexner Medical Center
3.9","Columbus, OH",-1,10000+ Employees,1916,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
4,"Data Analyst III (Claims, SQL, Healthcare)",-1,"Position Purpose:

The Data Analyst (Claims) will have the opportunity to make a significant impact through the discovery, development, and implementation of leading-edge analytics that answer important business questions related to claims payment and operations. The analyst will collaborate with business partners for the purpose of identifying and delivering robust reporting and analytics capabilities to drive improved business performance in the claims space.

Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS, pharmacy, external reporting

Extract, load, model, and reconcile large amounts of data across multiple system platforms and sources

Review data to determine operational impacts and needed actions; elevate issues, trends, areas for improvement and opportunities to management.

Develop reports and deliverables for management

Model data using MS Excel, Access, SQL, and/or other data ware house analytical tools

Ensure compliance with federal and state deliverable reporting requirements by performing data quality audits and analysis.

Assist with training and mentoring other Data Analysts.

Education/Experience:

Bachelor’s degree in business, economics, statistics, mathematics, actuarial science, public health, health informatics, healthcare administration, finance or related field or equivalent experience. Master's degree preferred. 4+ years of experience working with large databases, data verification, and data management. Healthcare analytics experience preferred. Claims experience highly preferred. Ability to integrate, validate, and reconcile data from multiple sources as well as design and construct analysis tools that extract, prepare, analyze, and store/present results to support business needs. Knowledge of query development using SQL or other coding languages. Knowledge of basic statistical, analytical, or data mining techniques including basic data modeling, trend analysis, and root-cause analysis preferred. Working knowledge of analytical tools, including R, Python, SAS, Microstrategy, SSRS, or related tools preferred. Working knowledge of relational databases required. Working knowledge of automation capabilities such as batch processes, stored procedures, scripting languages, Microstrategy, or other tools preferred

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",3.4,"Buckeye Community Health Plan, Inc.
3.4","Columbus, OH",-1,1001 to 5000 Employees,2004,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
5,Entry Level - Associate Data Scientist,"$80K-$129K
(Glassdoor est.)","Introduction
As a Data Scientist at IBM, you will help transform our clients data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether its investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.
Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.
Evaluate modelling results and communicate the results to technical and non-technical audiences.
Locations:
Atlanta, GA
Cambridge, MA
Chicago, IL
Dallas, TX
Houston, TX
New York, NY
San Francisco, CA
Washington DC

Required Technical and Professional Expertise
Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.)
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies
Willingness to travel up to 100% of the time.
Majors:
Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical and Professional Expertise
NA

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.7,"International Business Machines Corporation
3.7","Columbus, OH",-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
6,Junior Data Scientist,"$78K-$129K
(Glassdoor est.)","Battelle is guided by a founding mission. We invest our knowledge, talents and resources, helping our customers achieve their most important goals. We apply scientific rigor and creativity, succeeding where others may fail, and we invest in our communities, making the world better for generations to come. All of us share a common purpose: to solve the greatest challenges of today and tomorrow.

Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and environmental management. Battelle’s work is grounded in the belief that science, technology and a passion for excellence can make industries more competitive and the world a better place.

Battelle is seeking a Junior Data Scientist. There are multiple positions under this posting located in Columbus, Ohio, and Dayton, Ohio.

Work will support Wright-Patterson AFB in Dayton, Ohio. This position is contingent on award of contract and candidates are expected to start within 30 days of contract award.
JOB SUMMARY
The selected candidate(s) will serve as a member of a team of highly qualified and motivated individuals supporting timely and mission-critical effort related to Publicly Available Information/Open Source (PAI/OS) data on foreign developments in current and future weapons systems, subsystems, and technologies impacting air, space, and cyberspace, missiles, and other new initiatives. The candidate will work with a team of cleared linguists, scientists, intelligence analysts, engineers, and other relevant subject matter experts for collection, organization, and analysis. The position will be responsible for developing and maintaining data processing and analysis solutions, which will aid in parsing and formatting large data sets, advanced searching and collection, natural language processing (NLP), triaging, and language translation for Scientific & Technical (S&T) open source information. This will include direct collaboration with team members to maximize collection and interpretation efforts for a wide variety of data aligned with mission requirements. The candidate will also be responsible for data visualization, web scraping technologies, digital libraries and databases, appropriate algorithms, and similar tasks in support of the project. S/he will provide direct input to finished products in the form of visualizations, datasets, and recommendations for further collection and analysis, among other duties.
MAJOR RESPONSIBILITIES
Provides data science solutions for digital library development, human language translations, optical character recognition, and technical analysis of foreign language materials and technologies.
Supports data science solutions to integrate, ingest, reformat, and transform PAI data.
Catalogs and scans translated material to identify data of interest based on specific requests.
Develops and maintains data collection solutions for PAI/OS information, including web scrapers and technologies for sensitive searching.
Works with a multi-disciplinary team to leverage data science and NLP tools to collect, organize, and analyze diverse science and technology information from multiple sources.
Uses data visualization techniques to provide insights on large data sets and input to finished reports.
Builds and maintains databases in support of analyst and subject matter expert use.
Uses NLP tools to support language translation and science and technology assessments.
Must be able to work independently with some oversight and function effectively as part of a team in a joint working environment.
THE FOLLOWING IS REQUIRED
Must be a US Citizen with an active TS/SCI clearance
Bachelor’s Degree in mathematics, statistics, computer science, or similar technical field.
At least 0-5 years of experience as a data scientist, statistician, applied mathematician, or equivalent to fulfill the job requirements.
Proficiency in a high-level programming language, i.e. Python, R, Perl.
Experience working in U.S. national security, e.g. intelligence community, military, joint operations, or related government contracting.
THE FOLLOWING IS DESIRED
Master’s degree in the above areas.
Experience with shell scripting (bash, ksh, or equivalent).
At least 5-10 years of experience as a data scientist, statistician, applied mathematician, or equivalent to fulfill the job requirements.
Experience using NLP tools to collect, assemble, interpret, translate, and analyze open-source data, such as scientific publications, social media, and databases, and synthesizing knowledge into actionable intelligence.
Experience using NLP tools to support assessments and technical reporting on technologies and scientific topics, i.e. technology readiness levels (TRL) and critical technology elements (CTE).
Subject matter expertise in and support of U.S. air- and space-related programs and technologies.
LEGAL DISCLAIMER
The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities, and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle’s Legal Department.

BENEFITS

Battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.

Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within Battelle.

For more information about our other openings, please visit www.battelle.org/careers",3.2,"Battelle Memorial Institute
3.2","Columbus, OH",-1,10000+ Employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),-1
7,Data Scientist,"$100K-$163K
(Glassdoor est.)","Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Team

Data Scientists with Upstart have a direct impact on our company's success. Our data science team consists of full-stack generalists as well as specialists in statistical modeling or machine learning as well as Machine Learning Engineers.

Because our challenges are so new, Data Scientists at Upstart need strong creative problem-solving skills and the technical background to implement solutions. Our research environment affords team members the opportunity to utilize a variety of statistical and machine learning methods with the freedom and encouragement to pursue alternative approaches to solving problems. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

The Role

As a Data Scientist, you'll have ownership across a breadth of data science projects working end-to-end from building proof-of-concepts to productionalizing models. You'll also have an opportunity to work alongside a talented team that values curiosity, humility, drive and teamwork.

What we're looking for:
Strong academic credentials with a M.S. in statistics, mathematics, computer science or a related quantitative field of study with a preference for a PhD
Comfort with programming (ideally in Python and R)
Rigorous quantitative background
Predictive modeling experience is preferred
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility
Numerically-savvy with ability to operate at a speedy pace
What you'll love:
Competitive compensation (base + bonus & equity)
Comprehensive medical, dental, and vision coverage
Personal development and technology & ergonomic budgets
Life insurance and disability benefits
Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)
Generous vacation policy
401(k) retirement plan
Catered lunches + snacks & drinks
Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.",4.2,"Upstart Network, Inc.
4.2","Columbus, OH",-1,201 to 500 Employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
8,Junior Data Scientist,-1,"Dash Technologies is an industry leading software solutions providers as well as an IT training provider for over a decade now.

Developing scripts and tools to provide artificial intelligence to data of different types will be asked of. You will also assist in creating best practices for the next stage of artificial intelligence in ecommerce from a data science point of view. Working across functional teams and providing insights into how to better market, sell, and retain customers will be a constant goal for this role.

Eligibility Criteria
Bachelor's or master’s degree in Computer Science or related subject.
Candidates who are authorized to work in US.
0-1 years’ experience of Data Science
Key Responsibilities:
SQL
Python, Java, R, or equivalent to develop models
General Knowledge of recommendation systems
Knowledge of ML Models
Knowledge of Statistics
Big Data tools or desire to learn them
Knowledge of Ecommerce/Marketing or desire to learn more about it
Nice to have skills:
Google Cloud Platform
Dataproc
BigQuery
AI Platform
Experience with ETL
Experience with Kafka or similar streaming data platforms
Job Types: Full-time, Contract

Pay: $60,000.00 - $90,000.00 per year

Schedule:
Monday to Friday",4.3,"Dash Technologies Inc
4.3","Columbus, OH",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
9,Associate Data Scientist,"$50K-$85K
(Glassdoor est.)","Here at Scotts Miracle-Gro there is no such thing as a typical day. Our culture is constantly energized by new and exciting growth opportunities and at a rapid pace. Every Associate plays an important role in providing innovative solutions for today’s gardeners and growers and contributing new ideas to improve operations. In our company you need grit, it is what we were founded on over 150 years ago and is what keeps us growing. Regardless of your level in the organization there is a platform for your voice to be heard and the ability to influence change. Family, community and hard working values are weaved into all that we do. Come grow with us, where we develop and nurture the next generation of leaders.

We are looking for an Associate Data Scientist who will join our Finance team in Marysville, OH.

This position will be based at The Scotts Miracle-Gro world headquarters in Marysville, a suburb of Columbus, OH. Not familiar with Columbus? Visit columbusregion.com/columbus-2020/

The role will be primarily a technical role supporting the Pricing Analytics and Finance Functions by building, enhancing and maintaining the model architecture that measures sales performance across our channels, product lines and geographies. In addition this role will be responsible for advancing the organizational analytics capabilities by participating in assessments of business problems through conversations with internal customers in Finance, Sales, and Marketing; developing and executing an analytic plan and driving projects to completion.

This role will be a subject matter expert in machine learning and SQL in Finance. A successful candidate will be a data evangelist able to execute projects that democratize data and enable less technical business partners to leverage advanced analytics capabilities.

Responsibilities and Duties:
Build and maintain machine learning models (Python & SQL running on Azure Databricks) to measure sales performance and conduct scenario planning
Build/Enhance and maintain ML Model data pipeline in Cloud Data Lake and SQL tables
Manage projects to incorporate external data sources and maintain relationships and outside vendors responsible for collecting data and building machine learning models
Work with cross-functional business teams across the organization to assess stakeholder needs, develop analytic plan and bring projects to completion
Complete ad-hoc requests to support tactical and strategic business needs
Communicate analysis and findings clearly to senior leaders and non-technical audiences
Minimum Qualifications:
Bachelor's degree or higher in Computer Science, Statistics, Economics or related discipline
Minimum five years of experience in data and analytics
Strong SQL skills
Preferred experience in NoSQL environments
Experience with cloud analytics environments such as Sagemaker/Databricks
Strong data management skills including desired experience with APIs and ETL tools (ex. Airflow)
Strong programming ability in Python, R, and/or related languages relevant to machine learning and analytics projects (interview process to involve programming exercise)
Data visualization and report building experience using Power BI and/or Tableau
Experience developing and using machine learning models to identify business driver levers
Strong Code Management Skills
What we do for you (just to list a few cool ones):
Offer extremely competitive benefits including: Health, Dental and Vision coverage.
Onsite wellness center which includes: 24,000 sq. ft. fitness center, Walgreens pharmacy and Doctor’s office.
Nutrition reimbursement program (up to $200 per associate and per spouse)
Beautiful campus and corporate offices designed like a log cabin offering free coffee, chef run cafe and the best crushed ice!
First day of hire, 401K match (up to 7.5%) and discounted stock purchasing program (15% discount).
Our commitment to diversity and inclusion includes employee resource groups: Scotts Women’s Network, Scotts Black Employee Network, Scotts Veterans Network and GroPride Network, Scotts Young Professionals.
12 SMG paid holiday days and generous vacation policy.
Not interested in this role? Stay up to date on future opportunities by joining our ScottsMiracle-Gro and Hawthorne Gardening talent networks.

Scotts is an EEO Employer, dedicated to a culturally diverse, drug free workplace.

EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity

Notification to Agencies:

Please note that the Scotts Miracle-Gro company does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Master Service Agreement, and specific approval to submit resumes to an approved requisition, the Scotts Miracle-Gro company will not consider or approve payment regarding recruiter fees or referral compensations.

.",4.0,"The Scotts Miracle-Gro Company
4.0","Columbus, OH",-1,5001 to 10000 Employees,1868,Company - Public,Consumer Products Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
